Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Afghanistan,AFG,2.47866228944409,2.51992254366443,2.5542514703985,2.58492693988024,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Albania,ALB,12.6265476059094,12.956211080924,13.329073296329,13.7447359109736,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Algeria,DZA,5.86363656386141,6.00798118101593,6.17720487347554,6.36249654497986,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,American Samoa,ASM,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Andorra,AND,..,..,..,..,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Angola,AGO,2.27586188841703,2.26101845787304,2.23919656477835,2.21637364776329,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Antigua and Barbuda,ATG,8.15680909732168,8.3605742274694,8.57523106910066,8.79982551980558,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Arab World,ARB,4.30104727267074,4.37455894237797,4.46155951164889,4.55787642361103,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Argentina,ARG,10.728815712424,10.8599775767747,10.9897071133897,11.1177888760774,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Armenia,ARM,10.8773965127277,10.9787227665683,11.0966448892298,11.2538176570131,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Aruba,ABW,12.1371273037445,12.6048897703868,13.0734772127631,13.5509471396854,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Australia,AUS,14.8546106880091,15.1411186020755,15.4040208878559,15.6564752275591,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Austria,AUT,18.8404776774295,18.9091469471555,18.9565733220815,19.0015664595899,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,Azerbaijan,AZE,5.7365232062161,5.83552270670949,5.98968850174499,6.19518275071493,..
Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,"Bahamas, The",BHS,6.69203593742484,6.87508268727013,7.06054930518264,7.25760235662035,..
