"metric","Country.Name","Country.Code","value"
"Population, total","Afghanistan","AFG",37172386
"Population, total","Albania","ALB",2866376
"Population, total","Algeria","DZA",42228429
"Population, total","American Samoa","ASM",55465
"Population, total","Andorra","AND",77006
"Population, total","Angola","AGO",30809762
"Population, total","Antigua and Barbuda","ATG",96286
"Population, total","Argentina","ARG",44494502
"Population, total","Armenia","ARM",2951776
"Population, total","Aruba","ABW",105845
"Population, total","Australia","AUS",24982688
"Population, total","Austria","AUT",8840521
"Population, total","Azerbaijan","AZE",9939800
"Population, total","Bahamas, The","BHS",385640
"Population, total","Bahrain","BHR",1569439
"Population, total","Bangladesh","BGD",161356039
"Population, total","Barbados","BRB",286641
"Population, total","Belarus","BLR",9483499
"Population, total","Belgium","BEL",11433256
"Population, total","Belize","BLZ",383071
"Population, total","Benin","BEN",11485048
"Population, total","Bermuda","BMU",63973
"Population, total","Bhutan","BTN",754394
"Population, total","Bolivia","BOL",11353142
"Population, total","Bosnia and Herzegovina","BIH",3323929
"Population, total","Botswana","BWA",2254126
"Population, total","Brazil","BRA",209469333
"Population, total","British Virgin Islands","VGB",29802
"Population, total","Brunei Darussalam","BRN",428962
"Population, total","Bulgaria","BGR",7025037
"Population, total","Burkina Faso","BFA",19751535
"Population, total","Burundi","BDI",11175378
"Population, total","Cabo Verde","CPV",543767
"Population, total","Cambodia","KHM",16249798
"Population, total","Cameroon","CMR",25216237
"Population, total","Canada","CAN",37057765
"Population, total","Cayman Islands","CYM",64174
"Population, total","Central African Republic","CAF",4666377
"Population, total","Chad","TCD",15477751
"Population, total","Channel Islands","CHI",170499
"Population, total","Chile","CHL",18729160
"Population, total","China","CHN",1392730000
"Population, total","Colombia","COL",49648685
"Population, total","Comoros","COM",832322
"Population, total","Congo, Dem. Rep.","COD",84068091
"Population, total","Congo, Rep.","COG",5244363
"Population, total","Costa Rica","CRI",4999441
"Population, total","Cote d'Ivoire","CIV",25069229
"Population, total","Croatia","HRV",4087843
"Population, total","Cuba","CUB",11338138
"Population, total","Curacao","CUW",159800
"Population, total","Cyprus","CYP",1189265
"Population, total","Czech Republic","CZE",10629928
"Population, total","Denmark","DNK",5793636
"Population, total","Djibouti","DJI",958920
"Population, total","Dominica","DMA",71625
"Population, total","Dominican Republic","DOM",10627165
"Population, total","Ecuador","ECU",17084357
"Population, total","Egypt, Arab Rep.","EGY",98423595
"Population, total","El Salvador","SLV",6420744
"Population, total","Equatorial Guinea","GNQ",1308974
"Population, total","Eritrea","ERI",NA
"Population, total","Estonia","EST",1321977
"Population, total","Ethiopia","ETH",109224559
"Population, total","Faroe Islands","FRO",48497
"Population, total","Fiji","FJI",883483
"Population, total","Finland","FIN",5515525
"Population, total","France","FRA",66977107
"Population, total","French Polynesia","PYF",277679
"Population, total","Gabon","GAB",2119275
"Population, total","Gambia, The","GMB",2280102
"Population, total","Georgia","GEO",3726549
"Population, total","Germany","DEU",82905782
"Population, total","Ghana","GHA",29767108
"Population, total","Gibraltar","GIB",33718
"Population, total","Greece","GRC",10731726
"Population, total","Greenland","GRL",56025
"Population, total","Grenada","GRD",111454
