,dt,actual_plan,wk_early_mean,wk_early_lower,wk_early_upper,wk_later_mean,wk_later_lower,wk_later_upper
0,2020-03-03,11.54866,11.537846,10.50224,55.486156,11.379217,10.362631,54.886463
1,2020-03-04,14.711187,14.721041,13.406679,63.52448,14.4774685,13.186245,62.722668
2,2020-03-05,18.27853,18.310516,16.678583,72.33244,17.969645,16.370245,71.3794
3,2020-03-06,22.200817,22.258045,20.312473,82.199036,21.8648,19.957985,80.95288
4,2020-03-07,26.613506,26.63041,24.31014,93.05113,26.284111,24.003769,91.60956
5,2020-03-08,31.583565,31.541939,28.733124,104.97044,31.213512,28.497982,103.339455
6,2020-03-09,37.16749,37.069466,33.702427,118.17927,36.68515,33.47907,116.238464
7,2020-03-10,43.250793,43.106064,39.178604,132.7545,42.788155,38.95434,130.44016
8,2020-03-11,49.942886,49.8313,45.310837,148.81886,49.42296,44.96397,145.99602
9,2020-03-12,57.32292,57.15959,51.992817,166.64056,56.684082,51.578876,162.82063
10,2020-03-13,65.3972,65.358,59.42323,186.51663,64.63226,58.812645,181.23297
11,2020-03-14,74.11473,74.25046,67.53217,208.40834,73.357895,66.790855,201.83145
12,2020-03-15,83.65805,84.20732,76.59543,232.37407,82.98703,75.56683,224.50877
13,2020-03-16,94.080414,94.93448,86.38218,258.12482,93.53879,85.3453,249.9027
14,2020-03-17,105.889404,107.04776,97.056625,285.52597,105.41803,95.8588,277.5366
15,2020-03-18,119.13312,120.46777,108.81255,315.18295,118.49011,107.36491,308.22046
16,2020-03-19,133.61731,135.23984,121.717995,343.08698,132.88031,119.93333,341.76868
17,2020-03-20,149.51376,151.345,135.8656,369.06378,148.62363,133.60524,379.3361
18,2020-03-21,167.19788,169.43927,151.64351,392.6624,165.54388,148.3325,420.59143
19,2020-03-22,186.67712,189.38525,169.17686,412.85312,184.02881,164.3751,464.87503
20,2020-03-23,208.05182,211.41174,188.43204,428.6374,204.72784,182.41089,513.5818
21,2020-03-24,231.84888,235.70325,209.42476,441.05157,227.52307,202.22198,567.0035
22,2020-03-25,257.70428,261.22052,231.8765,453.67633,253.12994,224.36726,626.0587
23,2020-03-26,286.5487,288.62073,255.8249,465.85873,281.07922,248.70163,691.8438
24,2020-03-27,318.49207,318.25757,281.1724,480.72614,312.05798,275.54852,764.0804
25,2020-03-28,353.9452,349.0255,307.97818,490.20483,345.99463,305.14795,842.8033
26,2020-03-29,393.3026,379.7428,334.00497,493.4436,383.73462,337.16028,926.9729
27,2020-03-30,435.86523,405.17517,357.95905,489.37274,424.5636,372.05035,1015.89044
28,2020-03-31,482.85974,428.19873,379.05664,492.28973,470.2517,410.25226,1111.6012
29,2020-04-01,533.44775,443.77905,396.33844,506.4048,520.8921,452.75943,1213.8646
30,2020-04-02,586.9199,456.93262,408.3813,509.82416,576.71924,499.60516,1322.2349
