,United Kingdom,Italy,Germany,Spain,US,France,"Korea, South",Brazil,Iran,Netherlands,Canada,Turkey,Romania,Portugal,Sweden,Switzerland,Ireland,Hungary,Denmark,Austria,Mexico,India,Ecuador,Russia,Peru,Indonesia,Poland,Philippines,Japan,Pakistan,South Africa,Egypt,Norway
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7491292,,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73388207,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7324423,,,,
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7317628,,,,
2020-01-26,,,,,,,,,1.1576433,,,,,,,,,,,,,,,,,,,,0.7336617,,,,
2020-01-27,,,,,,,1.0691236,,1.1812232,,,,,,,,,,,,,,,,,,,,0.7314486,,,,
2020-01-28,,1.3077811,,,,,0.9703043,,1.1744453,,,,,,,,,,,,,,,,,,,,0.7330557,,,,
2020-01-29,,1.2623572,,,,,1.0492309,,1.1470388,,,,,,,,,,,,,,,,,,,,0.67741877,,,,
2020-01-30,,1.186655,,,,,1.0520866,,1.1448323,,,,,,,,,,,,,,,,,,,,0.6159597,,,,
2020-01-31,,1.2277068,,,,,1.0417916,,1.1499552,,,,,,,,,,,,,,,,,,,,0.5556353,,,,
2020-02-01,,1.2691544,,,,,1.0574762,,1.1610687,,,,,,,,,,,,,,,,,,,,0.4695132,,,,
2020-02-02,,1.3206842,,,,,1.0469464,,1.1659584,,,,,,,,,,,,,,,,,,,,0.39277217,,,,
2020-02-03,,1.3826107,,,,,0.98335624,,1.1444962,,,,,,,,,,,,,,,,,,,,0.31645793,,,,
2020-02-04,,1.3322438,,,,,0.8437347,,1.1756793,,,,,,,,,,,,,,,,,,,,0.255198,,,,
2020-02-05,,1.3317915,,,2.0402436,,0.77771515,,1.1438825,,,,,,,,,,,,,,,,,,,,0.2323504,,,,
2020-02-06,,1.3438585,,,2.0422885,,0.7508724,,1.1749195,,,,,,,,,,,,,,,,,,,,0.21481322,,,,
