,country,dt,actual_deaths,actual_plan,wk_early_mean,wk_early_lower,wk_early_upper,wk_later_mean,wk_later_lower,wk_later_upper
0,France,2020-02-12,0.0,8.784368e-15,8.784368e-15,1.0275344e-29,0.010443037,8.784368e-15,1.0275344e-29,0.010443037
1,France,2020-02-13,0.0,5.6379146e-12,5.6371513e-12,7.831379e-27,0.05321737,5.6563417e-12,7.8313804e-27,0.05321737
2,France,2020-02-14,0.0,3.0065622e-10,3.0076436e-10,5.958728e-25,0.16598442,3.0285202e-10,6.0224333e-25,0.16606688
3,France,2020-02-15,1.0,1.1773978e-09,1.1775934e-09,1.0772426e-24,0.34792104,1.1813335e-09,1.0941048e-24,0.34998444
4,France,2020-02-16,0.0,1.857789e-08,1.8594555e-08,4.9491316e-22,0.6067654,1.8844524e-08,4.977954e-22,0.6147937
5,France,2020-02-17,0.0,4.2018627e-07,4.2061916e-07,1.2191168e-21,0.9508301,4.2888792e-07,1.2311095e-21,0.9724069
6,France,2020-02-18,0.0,1.8215792e-06,1.8249699e-06,2.5137774e-21,1.3891238,1.8806801e-06,2.5468992e-21,1.4369987
7,France,2020-02-19,0.0,6.6337143e-06,6.6363223e-06,4.445671e-21,1.9339032,6.7940823e-06,4.534369e-21,2.0261354
8,France,2020-02-20,0.0,5.741627e-05,5.7486555e-05,4.5824467e-19,2.6012776,5.985162e-05,4.583121e-19,2.7619617
9,France,2020-02-21,0.0,0.05212237,0.05212237,1.2722523e-15,3.4053671,0.05212237,1.2728271e-15,3.6433086
10,France,2020-02-22,0.0,0.17139688,0.17139688,3.6314484e-12,4.364647,0.17139706,3.6430837e-12,4.688822
11,France,2020-02-23,0.0,0.3656817,0.36563265,1.550295e-07,5.4993567,0.36756605,1.6344067e-07,5.9226847
12,France,2020-02-24,0.0,0.6429031,0.6433424,0.052695297,6.8351912,0.651281,0.052695297,7.3703394
13,France,2020-02-25,0.0,1.0116951,1.0136001,0.17284742,8.395966,1.0354698,0.17284742,9.066662
14,France,2020-02-26,1.0,1.4832505,1.4861729,0.3686254,10.332835,1.5349867,0.37044385,11.167939
15,France,2020-02-27,0.0,2.0718532,2.0743508,0.64884824,12.675539,2.1680145,0.6562841,13.726021
16,France,2020-02-28,0.0,2.7939134,2.7958472,1.0230811,15.449484,2.9616785,1.0434829,16.75605
17,France,2020-02-29,0.0,3.663659,3.6665397,1.5017362,18.735613,3.9175763,1.5475788,20.31933
18,France,2020-03-01,0.0,4.7034388,4.707583,2.0971365,22.64472,5.0546513,2.1873817,24.507214
19,France,2020-03-02,1.0,5.9470806,5.944113,2.8312786,27.319757,6.4005003,2.9819565,29.455553
20,France,2020-03-03,1.0,7.4280834,7.4094,3.7176192,32.928158,7.980439,3.9459476,35.29094
21,France,2020-03-04,0.0,9.15519,9.105499,4.778042,39.655834,9.822575,5.097603,42.13915
22,France,2020-03-05,2.0,11.174463,11.091423,6.0356345,47.728718,12.001904,6.4570713,50.179256
23,France,2020-03-06,3.0,13.546333,13.418619,7.520397,57.392612,14.543777,8.058175,59.65604
24,France,2020-03-07,2.0,16.314098,16.14843,9.2584505,68.89208,17.4999,9.941991,69.844604
25,France,2020-03-08,8.0,19.53513,19.367237,11.294521,82.61592,20.933002,12.159957,81.550224
26,France,2020-03-09,0.0,23.270176,23.163925,13.687152,98.767395,24.929878,14.766625,95.00984
27,France,2020-03-10,14.0,27.582546,27.646023,16.510273,116.73769,29.583176,17.805994,110.55911
28,France,2020-03-11,15.0,32.601562,32.968834,19.838625,137.21408,34.9814,21.365784,128.58939
29,France,2020-03-12,0.0,38.398605,39.281776,23.78327,158.97206,41.260735,25.554724,149.54874
30,France,2020-03-13,31.0,45.137238,46.772667,28.475792,178.32419,48.558113,30.460094,174.0678
31,France,2020-03-14,12.0,52.996582,55.654602,34.06007,194.25258,57.024673,36.176773,202.94836
32,France,2020-03-15,0.0,62.2352,66.07538,40.70673,210.63055,66.820114,42.82763,237.1169
33,France,2020-03-16,57.0,73.16177,78.29883,48.57829,232.69989,78.22624,50.598076,277.51163
34,France,2020-03-17,0.0,86.115616,92.77486,57.765697,249.76651,91.431274,59.64765,325.2388
35,France,2020-03-18,0.0,101.47656,109.45361,68.58758,260.9258,106.694275,70.03678,381.59735
36,France,2020-03-19,95.0,119.70471,129.24277,81.32897,273.99988,124.79111,81.90914,447.78107
37,France,2020-03-20,207.0,141.28891,151.60214,96.308464,285.21292,145.55237,95.74599,525.69727
38,France,2020-03-21,112.0,166.90485,176.19022,114.02256,293.10324,170.23907,111.90928,617.4094
39,France,2020-03-22,112.0,196.9538,200.20526,134.57901,292.0153,199.17719,130.65445,725.3991
40,France,2020-03-23,186.0,232.34845,222.33191,157.69368,295.45844,232.52203,152.4651,851.4858
41,France,2020-03-24,240.0,274.49298,241.74982,180.55397,304.28845,272.09546,177.87704,997.65356
42,France,2020-03-25,231.0,323.18396,255.32935,203.67137,315.68192,319.02893,207.65996,1162.5906
43,France,2020-03-26,365.0,379.80322,269.2859,224.47874,317.98148,374.72046,242.83514,1338.6248
44,France,2020-03-27,299.0,443.7444,277.63855,235.29749,315.2495,440.64685,284.5235,1514.3557
45,France,2020-03-28,319.0,511.81946,281.06714,238.72125,322.51288,518.18005,333.93887,1677.3169
46,France,2020-03-29,292.0,579.8745,284.28186,237.6983,328.37036,608.8179,392.5249,1840.4703
47,France,2020-03-30,418.0,640.9409,286.6858,236.15833,332.97516,715.1553,461.81888,2046.259
48,France,2020-03-31,499.0,699.00854,286.77563,228.46895,333.1243,840.2317,543.2175,2206.4504
49,France,2020-04-01,880.0,739.72534,282.84497,219.25522,331.3329,980.5095,639.11273,2334.144
50,France,2020-04-02,984.0,774.01,276.47998,210.05249,326.6476,1145.9849,750.34595,2420.9336
