,countries,best_err,best_length,crps,best_seed,best_model
0,United Kingdom,57.6669563553629,741.6277064714625,0.08872763975155282,11,8
1,Italy,77.86221679500194,678.4909305116137,0.0902804347826087,2,2
2,Germany,30.3390929370266,298.10112741970596,0.09990776397515526,10,7
3,Spain,124.69309399705504,828.3815852445308,0.12071521739130438,3,3
4,US,139.0431883517726,2432.2882503389997,0.07568416149068323,2,2
5,France,25.529571623407428,1152.611665429756,0.0747524844720497,10,7
6,Belgium,124.88992594621494,527.3105421475819,0.1542555900621118,10,7
8,Brazil,83.62047165473179,627.2267094287706,0.10021832298136649,11,8
10,Netherlands,10.540384420795235,101.83273982578778,0.13136739130434785,13,9
14,Portugal,1.2289880237082615,17.151677953214506,0.09152267080745344,2,2
15,Sweden,11.490129503402946,164.85275369991538,0.09835496894409938,3,3
16,Switzerland,16.550969220809442,62.11337681542698,0.17242329192546588,13,9
19,Denmark,1.2932442803157147,10.412714942928956,0.10891397515527954,2,2
20,Austria,3.202727439662767,10.355461086013241,0.20205062111801245,10,7
