,countries,rmse,total_error
0,United Kingdom,133.27358217051682,-1760.019086823284
1,Italy,121.40430335225058,-1520.7163882202094
2,Germany,49.72951353629154,585.9856277840508
3,Spain,60.249398332470825,-498.7381324698208
4,US,509.3905909514502,-6501.481942929411
5,France,92.59881240037514,-937.8988165096716
6,"Korea, South",4.2559663861455554,54.699306160763044
7,Brazil,16.430035813122466,-151.82681156407762
8,Iran,6.118158960421282,53.79300738635084
9,Netherlands,14.33795588630623,-128.8441837373407
10,Canada,33.10448489735767,-333.90026510499865
11,Turkey,23.536149578262478,-309.50466144742563
12,Romania,17.614188172012312,-225.64131308313847
13,Portugal,1.5049060001630283,-8.093496770123977
14,Sweden,40.384058597384644,-435.19667002230085
15,Switzerland,5.884629042023837,44.958200038040104
16,Ireland,30.475078262839965,-390.6736659390488
17,Hungary,7.234953882205208,-95.1306506961943
18,Denmark,2.9068920402507623,-32.180187096050105
19,Austria,5.0721907203292576,-48.432280737684735
20,Mexico,58.20685655756314,-655.9794361663533
21,India,39.37592023629955,-469.22427047517647
22,Ecuador,80.20479587542964,-1043.9961409397142
23,Russia,30.792087056049798,-392.5025643803132
24,Peru,41.185669591372154,-538.3656438983569
25,Indonesia,8.096589462678637,101.0574142037195
26,Poland,5.9644731704823455,-78.61830470740202
27,Philippines,1.5638697754212414,9.206053051444258
28,Japan,3.569402147309439,22.73024924076435
29,Pakistan,13.73622148958278,-175.77355946592644
30,South Africa,3.5650882377428683,-38.028167657416915
31,Egypt,8.54210436920337,-116.63754431053394
32,Norway,0.9978885468507006,9.713699853852845
