,countries,rmse,total_error
0,United Kingdom,5043.730388309279,115367.06974140227
1,Italy,905.9452523339303,34128.73465414961
2,Germany,1312.9103510391967,32126.82535134102
3,Spain,1283.3964194186362,40539.984086765144
4,US,13240.725038231063,328779.18276612385
5,France,334.2097745034556,-10364.75203282896
6,Belgium,216.31075080811348,2486.310204559765
7,"Korea, South",1.7296226408182813,43.85241574811437
8,Brazil,269.32249684625793,-8913.615928757003
9,Iran,154.46002906827079,6203.6608239580255
10,Netherlands,40.171423841724334,1119.1271739617978
11,Canada,117.79691448298637,-4343.703113630051
12,Turkey,70.26922201330316,-2741.4132386006986
13,Romania,6.9006906456857715,-97.89567177407639
14,Portugal,12.570539376198349,107.61922581272711
15,Sweden,49.593226302892596,-1904.9071845991211
16,Switzerland,17.86449955310715,-563.0159130583529
17,Ireland,26.3141454421221,-895.440750276571
18,Hungary,8.881532005114115,-343.31134420189915
19,Denmark,4.808295265400357,-143.13970668500684
20,Austria,10.559900275619437,75.38418607290487
21,Mexico,89.15496339640767,-2935.6834735977163
22,India,55.92871469733223,-1901.9830091277609
23,Ecuador,52.54070326586791,-1582.656869667995
24,Russia,42.363467979749714,-1381.0363296400626
25,Peru,48.36938069123815,-1614.0772261156583
26,Indonesia,15.595680494748319,-557.8517093155704
27,Poland,15.527803356295715,-604.355766117419
28,Philippines,8.7779538092047,-332.3944865018139
29,Japan,14.15057901212084,-512.9633751427011
30,Pakistan,16.06983369903028,-543.3844547885633
